"regional";"municipio";"prestador_matricula";"prestador_nome";"ramo";"referencia";"remessa";"situacao";"valor_pagar";"observacoes"
PATOS DE MINAS;PATOS DE MINAS;48573;LABORATORIO DE PAT. CLIN. E ANAL. CLIN. CARLOS CHAGAS LTDA;LABO;"2024-02-01";2002909441;EMREVISAO;0.00;
BELO HORIZONTE;BELO HORIZONTE;3674265;IPSEM - INSTITUTO DE PESQUISAS E SERVICOS MEDICOS LTDA;ATENDOM;"2025-11-01";2003435205;EMREVISAO;0.00;
MONTES CLAROS;MONTES CLAROS;3889199;IRMANDADE NOSSA SENHORA DAS MERCES DE MONTES CLAROS;HOSP;"2025-11-01";2003405422;PAGPROC;200.25;
PONTE NOVA;VICOSA;4060096;LABORATORIO DE ANALISES CLINICA HEMOLAB LTDA;LABO;"2022-12-01";2002611766;PAGPROC;0.00;
UBERLANDIA;UBERLANDIA;3267827;HOSPITAL E MATERNIDADE SANTA CLARA S/A;HOSP;"2023-08-01";2002766774;PAGPROC;2801.90;
TEOFILO OTONI;TEOFILO OTONI;3108326;HOSPITAL PHILADELFIA LTDA;HOSP;"2024-03-01";2002938683;EMREVISAO;0.00;
JUIZ DE FORA;JUIZ DE FORA;4129922;INSTITUTO BRASILEIRO DE GESTAO DA SAUDE;HOSP;"2023-08-01";2002816014;PAGPROC;0.00;
UBERLANDIA;UBERLANDIA;3267827;HOSPITAL E MATERNIDADE SANTA CLARA S/A;HOSP;"2024-11-01";2003126952;EMREVISAO;0.00;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-09-01";2003422702;PAGPROC;60.60;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-11-01";2003410369;PAGPROC;24.79;
UBERLANDIA;PATROCINIO;3311828;HOSPITAL MED CENTER LTDA;HOSP;"2025-11-01";2003342540;EMREVISAO;0.00;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-12-01";2003405188;EMREVISAO;70973.91;
BELO HORIZONTE;BELO HORIZONTE;3087217;ASSOCIACAO MARIO PENNA;HOSP;"2023-10-01";2002836026;EMREVISAO;0.00;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-12-01";2003409673;PAGPROC;240.00;
ALMENARA;PEDRA AZUL;2608038;HOSPITAL ESTER FARIA DE ALMEIDA;HOSP;"2025-07-01";2003306576;EMREVISAO;71.60;
